wea_stn_cd,valid_date,max_temp,min_temp,water
KSEA,20151001,70,49,0.00
KSEA,20151002,60,50,T
KSEA,20151003,67,52,0.00
KSEA,20151004,73,50,0.00
KSEA,20151005,74,49,0.00
KSEA,20151006,65,50,0.00
KSEA,20151007,61,57,0.39
KSEA,20151008,66,56,0.00
KSEA,20151009,67,54,0.01
KSEA,20151010,70,56,1.13
KSEA,20151011,64,51,0.00
KSEA,20151012,65,51,0.18
KSEA,20151013,62,49,0.05
KSEA,20151014,59,50,0.00
KSEA,20151015,70,49,0.00
KSEA,20151016,68,48,0.00
KSEA,20151017,67,53,0.01
KSEA,20151018,59,55,0.15
KSEA,20151019,63,54,0.01
KSEA,20151020,64,51,0.00
KSEA,20151021,61,47,T
KSEA,20151022,61,48,0.00
KSEA,20151023,55,45,0.00
KSEA,20151024,59,48,T
KSEA,20151025,67,48,0.35
KSEA,20151026,54,50,0.27
KSEA,20151027,61,46,0.00
KSEA,20151028,57,52,0.13
KSEA,20151029,59,54,0.07
KSEA,20151030,63,53,0.76
KSEA,20151031,60,53,1.30
KYKM,20151001,84,42,0.00
KYKM,20151002,83,46,0.00
KYKM,20151003,78,50,0.00
KYKM,20151004,76,44,0.00
KYKM,20151005,78,40,0.00
KYKM,20151006,76,40,0.00
KYKM,20151007,69,56,0.03
KYKM,20151008,72,53,0.00
KYKM,20151009,79,50,0.00
KYKM,20151010,80,46,T
KYKM,20151011,73,48,0.00
KYKM,20151012,77,43,0.00
KYKM,20151013,80,46,0.00
KYKM,20151014,75,38,0.00
KYKM,20151015,77,40,0.00
KYKM,20151016,78,40,0.00
KYKM,20151017,76,45,0.01
KYKM,20151018,65,52,0.22
KYKM,20151019,75,48,0.00
KYKM,20151020,72,42,0.00
KYKM,20151021,68,38,0.00
KYKM,20151022,69,39,0.00
KYKM,20151023,63,35,0.00
KYKM,20151024,61,40,0.00
KYKM,20151025,64,36,0.12
KYKM,20151026,66,42,0.04
KYKM,20151027,63,36,0.00
KYKM,20151028,58,43,0.06
KYKM,20151029,59,39,0.00
KYKM,20151030,74,51,0.03
KYKM,20151031,73,42,0.03
KUIL,20151001,67,42,0.00
KUIL,20151002,60,43,0.00
KUIL,20151003,71,42,0.00
KUIL,20151004,74,41,0.00
KUIL,20151005,79,41,0.00
KUIL,20151006,62,48,0.00
KUIL,20151007,60,57,0.92
KUIL,20151008,66,56,T
KUIL,20151009,68,55,0.61
KUIL,20151010,61,47,0.66
KUIL,20151011,62,46,T
KUIL,20151012,59,43,0.66
KUIL,20151013,62,42,0.00
KUIL,20151014,71,39,0.00
KUIL,20151015,73,44,0.00
KUIL,20151016,65,46,0.01
KUIL,20151017,62,52,0.27
KUIL,20151018,61,53,0.01
KUIL,20151019,62,50,0.12
KUIL,20151020,65,46,0.00
KUIL,20151021,61,44,0.06
KUIL,20151022,62,42,0.00
KUIL,20151023,62,40,0.00
KUIL,20151024,63,43,0.07
KUIL,20151025,63,48,0.49
KUIL,20151026,64,50,0.11
KUIL,20151027,62,41,0.08
KUIL,20151028,61,53,0.84
KUIL,20151029,61,54,0.36
KUIL,20151030,60,54,2.03
KUIL,20151031,62,50,2.48
KPDX,20151001,76,50,0.00
KPDX,20151002,63,50,0.02
KPDX,20151003,71,46,0.00
KPDX,20151004,81,49,0.00
KPDX,20151005,85,50,0.00
KPDX,20151006,77,54,0.00
KPDX,20151007,66,60,0.07
KPDX,20151008,75,57,0.00
KPDX,20151009,71,54,T
KPDX,20151010,72,55,0.29
KPDX,20151011,68,50,0.00
KPDX,20151012,71,47,0.00
KPDX,20151013,72,50,0.00
KPDX,20151014,72,51,0.00
KPDX,20151015,80,49,0.00
KPDX,20151016,74,50,0.00
KPDX,20151017,67,57,0.01
KPDX,20151018,66,58,0.04
KPDX,20151019,64,56,T
KPDX,20151020,67,50,T
KPDX,20151021,66,47,0.00
KPDX,20151022,66,46,0.00
KPDX,20151023,63,42,0.00
KPDX,20151024,69,50,0.00
KPDX,20151025,62,53,0.64
KPDX,20151026,63,46,0.01
KPDX,20151027,63,44,0.00
KPDX,20151028,59,52,0.29
KPDX,20151029,64,54,0.01
KPDX,20151030,62,56,0.34
KPDX,20151031,64,53,1.97
KLAX,20151001,81,67,0.00
KLAX,20151002,81,66,0.00
KLAX,20151003,79,65,0.00
KLAX,20151004,71,63,0.08
KLAX,20151005,75,62,0.00
KLAX,20151006,75,63,0.00
KLAX,20151007,77,64,0.00
KLAX,20151008,82,67,0.00
KLAX,20151009,92,68,0.00
KLAX,20151010,99,74,0.00
KLAX,20151011,94,74,0.00
KLAX,20151012,91,73,0.00
KLAX,20151013,87,73,0.00
KLAX,20151014,82,72,0.00
KLAX,20151015,79,71,0.00
KLAX,20151016,74,70,0.00
KLAX,20151017,78,70,0.00
KLAX,20151018,76,68,0.02
KLAX,20151019,75,65,T
KLAX,20151020,77,64,0.00
KLAX,20151021,79,63,0.00
KLAX,20151022,76,63,0.00
KLAX,20151023,74,64,0.00
KLAX,20151024,89,64,0.00
KLAX,20151025,84,67,0.00
KLAX,20151026,81,63,0.00
KLAX,20151027,81,61,0.00
KLAX,20151028,76,67,0.00
KLAX,20151029,84,70,0.00
KLAX,20151030,84,69,0.00
KLAX,20151031,85,60,0.00
KFAT,20151001,78,62,0.05
KFAT,20151002,81,58,0.00
KFAT,20151003,86,58,T
KFAT,20151004,74,53,0.02
KFAT,20151005,81,58,0.00
KFAT,20151006,82,59,0.00
KFAT,20151007,86,60,0.00
KFAT,20151008,90,66,0.00
KFAT,20151009,93,64,0.00
KFAT,20151010,97,65,0.00
KFAT,20151011,91,64,0.00
KFAT,20151012,94,64,0.00
KFAT,20151013,94,66,0.00
KFAT,20151014,90,68,0.00
KFAT,20151015,87,68,0.16
KFAT,20151016,85,64,0.20
KFAT,20151017,81,65,0.00
KFAT,20151018,76,62,T
KFAT,20151019,76,56,0.00
KFAT,20151020,76,55,0.00
KFAT,20151021,80,55,0.00
KFAT,20151022,83,57,0.00
KFAT,20151023,84,56,0.00
KFAT,20151024,83,55,0.00
KFAT,20151025,81,58,0.00
KFAT,20151026,84,52,0.00
KFAT,20151027,78,56,T
KFAT,20151028,77,60,0.06
KFAT,20151029,71,53,0.00
KFAT,20151030,76,52,0.00
KFAT,20151031,82,52,0.00
KCPR,20151001,75,48,0.00
KCPR,20151002,76,48,T
KCPR,20151003,60,42,0.03
KCPR,20151004,47,40,0.03
KCPR,20151005,72,44,T
KCPR,20151006,69,46,0.01
KCPR,20151007,76,42,0.00
KCPR,20151008,69,39,0.00
KCPR,20151009,74,33,0.00
KCPR,20151010,85,50,0.00
KCPR,20151011,79,34,0.00
KCPR,20151012,76,23,0.00
KCPR,20151013,79,36,0.00
KCPR,20151014,78,41,0.00
KCPR,20151015,65,31,0.00
KCPR,20151016,75,23,0.00
KCPR,20151017,78,27,0.00
KCPR,20151018,75,49,0.00
KCPR,20151019,68,38,0.00
KCPR,20151020,66,43,0.00
KCPR,20151021,58,32,0.04
KCPR,20151022,50,29,0.50
KCPR,20151023,55,30,0.03
KCPR,20151024,62,29,0.00
KCPR,20151025,63,28,0.00
KCPR,20151026,66,39,T
KCPR,20151027,47,30,0.30
KCPR,20151028,55,24,0.00
KCPR,20151029,54,20,T
KCPR,20151030,55,32,0.00
KCPR,20151031,66,40,0.00
KP60,20151001,63,39,0.06
KP60,20151002,54,41,0.39
KP60,20151003,45,34,0.33
KP60,20151004,50,32,0.00
KP60,20151005,58,29,0.00
KP60,20151006,62,28,0.00
KP60,20151007,61,30,0.00
KP60,20151008,57,41,0.00
KP60,20151009,65,33,0.00
KP60,20151010,67,30,0.00
KP60,20151011,55,27,0.00
KP60,20151012,62,24,0.00
KP60,20151013,62,26,0.00
KP60,20151014,63,27,0.00
KP60,20151015,59,25,0.00
KP60,20151016,62,25,0.00
KP60,20151017,64,26,0.00
KP60,20151018,53,34,0.02
KP60,20151019,45,32,0.43
KP60,20151020,41,29,0.04
KP60,20151021,49,25,0.00
KP60,20151022,48,27,0.00
KP60,20151023,48,24,0.00
KP60,20151024,49,26,0.00
KP60,20151025,49,26,0.01
KP60,20151026,43,26,0.08
KP60,20151027,41,22,0.02
KP60,20151028,43,18,0.00
KP60,20151029,36,23,0.10
KP60,20151030,35,22,0.05
KP60,20151031,40,32,0.09
KPHX,20151001,106,77,0.00
KPHX,20151002,98,75,0.00
KPHX,20151003,95,70,0.00
KPHX,20151004,95,70,0.02
KPHX,20151005,89,68,0.07
KPHX,20151006,80,65,0.16
KPHX,20151007,83,64,0.00
KPHX,20151008,92,66,0.00
KPHX,20151009,95,74,0.00
KPHX,20151010,95,73,0.00
KPHX,20151011,98,74,0.00
KPHX,20151012,97,75,0.00
KPHX,20151013,98,75,0.00
KPHX,20151014,100,76,0.00
KPHX,20151015,96,76,0.00
KPHX,20151016,97,74,0.02
KPHX,20151017,89,72,0.02
KPHX,20151018,92,71,0.32
KPHX,20151019,86,68,0.00
KPHX,20151020,81,67,T
KPHX,20151021,77,64,T
KPHX,20151022,79,61,0.00
KPHX,20151023,84,63,0.00
KPHX,20151024,90,64,0.00
KPHX,20151025,88,69,0.00
KPHX,20151026,91,67,0.00
KPHX,20151027,89,65,0.00
KPHX,20151028,87,68,0.00
KPHX,20151029,81,65,0.06
KPHX,20151030,79,60,0.04
KPHX,20151031,83,57,0.00
KFAR,20151001,67,50,0.00
KFAR,20151002,64,44,0.00
KFAR,20151003,63,43,0.00
KFAR,20151004,63,49,0.01
KFAR,20151005,62,54,0.00
KFAR,20151006,63,38,0.00
KFAR,20151007,67,31,0.05
KFAR,20151008,55,47,0.00
KFAR,20151009,63,38,0.00
KFAR,20151010,83,50,0.00
KFAR,20151011,97,51,T
KFAR,20151012,62,37,0.03
KFAR,20151013,62,32,0.00
KFAR,20151014,71,36,0.00
KFAR,20151015,59,28,0.00
KFAR,20151016,50,22,0.00
KFAR,20151017,58,23,0.00
KFAR,20151018,70,41,0.00
KFAR,20151019,73,47,0.00
KFAR,20151020,71,46,0.00
KFAR,20151021,61,37,0.00
KFAR,20151022,66,29,0.00
KFAR,20151023,55,47,0.95
KFAR,20151024,58,37,0.00
KFAR,20151025,53,35,0.00
KFAR,20151026,54,34,T
KFAR,20151027,59,46,T
KFAR,20151028,49,35,0.14
KFAR,20151029,42,39,0.00
KFAR,20151030,51,37,0.00
KFAR,20151031,55,40,0.01
KINL,20151001,64,35,0.00
KINL,20151002,60,27,0.00
KINL,20151003,59,33,0.00
KINL,20151004,60,28,T
KINL,20151005,54,44,0.01
KINL,20151006,54,26,0.00
KINL,20151007,54,20,0.23
KINL,20151008,52,41,0.05
KINL,20151009,57,42,0.00
KINL,20151010,68,45,0.00
KINL,20151011,88,43,0.00
KINL,20151012,59,39,0.16
KINL,20151013,50,30,0.00
KINL,20151014,62,30,0.00
KINL,20151015,52,28,0.01
KINL,20151016,42,21,T
KINL,20151017,47,20,T
KINL,20151018,61,19,0.00
KINL,20151019,70,37,0.00
KINL,20151020,49,39,T
KINL,20151021,45,35,0.25
KINL,20151022,55,25,0.00
KINL,20151023,46,33,0.89
KINL,20151024,56,36,0.01
KINL,20151025,47,22,0.00
KINL,20151026,50,18,0.00
KINL,20151027,52,32,0.01
KINL,20151028,49,37,1.12
KINL,20151029,45,36,0.07
KINL,20151030,47,34,0.03
KINL,20151031,45,34,0.04
